systematic_name,bp,mf
YMR064W,protein biosynthesis,molecular function unknown
YDR470C,transport*,transporter activity
YDL156W,biological process unknown,molecular function unknown
YLR357W,chromatin remodeling*,molecular function unknown
YHR161C,endocytosis,clathrin binding
YGR211W,regulation of progression through cell cycle,protein binding
YHR040W,snoRNA metabolism,nucleic acid binding
YNL186W,chromatin silencing at telomere*,ubiquitin-specific protease activity
YGL113W,DNA replication initiation*,chromatin binding
YPR018W,nucleosome assembly,transcription regulator activity
YNR008W,triacylglycerol biosynthesis*,phospholipid:diacylglycerol acyltransferase activity
YDR348C,biological process unknown,molecular function unknown
YOL103W,myo-inositol transport,myo-inositol transporter activity
YOR239W,actin cytoskeleton organization and biogenesis,S-adenosylmethionine-dependent methyltransferase activity*
YGL022W,protein amino acid N-linked glycosylation,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
YER089C,G1/S transition of mitotic cell cycle*,protein phosphatase type 2C activity
YHL007C,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YLR207W,ER-associated protein catabolism,ubiquitin-protein ligase activity
YCR017C,cell wall organization and biogenesis*,molecular function unknown
YGR097W,response to oxidative stress*,transcription regulator activity
YKL059C,mRNA polyadenylylation*,RNA binding
YAL011W,chromatin remodeling*,molecular function unknown
YML028W,response to oxidative stress*,thioredoxin peroxidase activity
YMR120C,'de novo' IMP biosynthesis*,IMP cyclohydrolase activity*
YCL036W,biological process unknown,molecular function unknown
YGR280C,35S primary transcript processing*,RNA binding
YNL313C,karyogamy,molecular function unknown
YAR014C,cellular morphogenesis during vegetative growth,molecular function unknown
YOR011W,sterol transport,"ATPase activity, coupled to transmembrane movement of substances"
YDR456W,vacuolar acidification*,monovalent inorganic cation transporter activity
YML059C,phosphatidylcholine metabolism,hydrolase activity*
YBR197C,biological process unknown,molecular function unknown
YAR018C,chromosome segregation,protein kinase activity
YJR092W,bud site selection*,GTP binding
YBR156C,protein amino acid phosphorylation*,protein kinase activator activity
YJR143C,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity
YBL089W,transport,transporter activity
YBR038W,cytokinesis,chitin synthase activity
YLL031C,GPI anchor biosynthesis,"transferase activity, transferring phosphorus-containing groups"
YLR347C,protein-nucleus import,protein carrier activity
YDR385W,translational elongation,translation elongation factor activity
YOR133W,translational elongation,translation elongation factor activity
YMR307W,cell wall organization and biogenesis*,"1,3-beta-glucanosyltransferase activity"
YDL117W,cytokinesis,molecular function unknown
YNR041C,ubiquinone metabolism,prenyltransferase activity*
YNL169C,phosphatidylcholine biosynthesis,phosphatidylserine decarboxylase activity
YOL107W,biological process unknown,molecular function unknown
YOR269W,"nuclear migration, microtubule-mediated",molecular function unknown
YML052W,sporulation (sensu Fungi),molecular function unknown
YOR301W,bud site selection,molecular function unknown
YDR411C,biological process unknown*,molecular function unknown
YPL246C,biological process unknown,molecular function unknown
YBL081W,biological process unknown,molecular function unknown
YGL198W,vesicle-mediated transport,Rab GTPase binding
YHR041C,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YNR055C,transport,transporter activity
YPR138C,ammonium transport,ammonium transporter activity
YOL092W,biological process unknown,molecular function unknown
YCR028C,endocytosis*,pantothenate transporter activity
YHR151C,biological process unknown,molecular function unknown
YBL020W,protein amino acid N-linked glycosylation*,oligosaccharide transporter activity
YDR107C,biological process unknown,molecular function unknown
YNL307C,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity*
YGL142C,GPI anchor biosynthesis,mannosyltransferase activity
YML022W,AMP biosynthesis*,adenine phosphoribosyltransferase activity
YCL002C,biological process unknown,molecular function unknown
YLR050C,biological process unknown,molecular function unknown
YNL130C,phosphatidylcholine biosynthesis,diacylglycerol cholinephosphotransferase activity
YGR284C,ER to Golgi transport,molecular function unknown
YKL051W,actin cytoskeleton organization and biogenesis*,molecular function unknown
YDL119C,transport,transporter activity
YDR498C,vesicle fusion*,v-SNARE activity
YOR009W,biological process unknown,molecular function unknown
YPR004C,biological process unknown,electron carrier activity
YMR315W,biological process unknown,molecular function unknown
YNR035C,actin cytoskeleton organization and biogenesis*,structural molecule activity
YNR034W,tRNA-nucleus export*,molecular function unknown*
YGR286C,biotin biosynthesis,biotin synthase activity
YMR116C,biological process unknown,molecular function unknown
YAL036C,biological process unknown,GTP binding
YBR125C,biological process unknown,protein phosphatase type 2C activity
YGR203W,biological process unknown,protein tyrosine phosphatase activity*
YER154W,mitochondrial inner membrane protein import,protein transporter activity
YDL047W,cell wall organization and biogenesis*,protein serine/threonine phosphatase activity
YNL016W,"mRNA catabolism, nonsense-mediated decay",nucleic acid binding
YLR449W,biological process unknown,peptidyl-prolyl cis-trans isomerase activity
YAL035W,translational initiation,GTPase activity*
YKL191W,peptidyl-diphthamide biosynthesis from peptidyl-histidine,molecular function unknown
YLL018C,protein biosynthesis,RNA binding*
YDL174C,aerobic respiration*,D-lactate dehydrogenase (cytochrome) activity
YGR124W,asparagine biosynthesis,asparagine synthase (glutamine-hydrolyzing) activity
YML014W,response to stress*,tRNA (uridine) methyltransferase activity
YHR019C,asparaginyl-tRNA aminoacylation,ATP binding*
YGL097W,rRNA-nucleus export*,signal transducer activity
YNL026W,protein complex assembly*,molecular function unknown
YNR052C,regulation of transcription from RNA polymerase II promoter*,3'-5'-exoribonuclease activity
YMR246W,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity
YJL211C,NA,NA
YER061C,fatty acid biosynthesis,fatty-acid synthase activity
YOR271C,biological process unknown,molecular function unknown
YDL131W,lysine biosynthesis via aminoadipic acid,homocitrate synthase activity
YHR099W,regulation of transcription from RNA polymerase II promoter*,histone acetyltransferase activity
YGR193C,acetyl-CoA biosynthesis from pyruvate,protein binding
YGR231C,protein folding*,molecular function unknown
YGR058W,biological process unknown,molecular function unknown
YML048W,protein folding*,molecular function unknown
YHR047C,proteolysis and peptidolysis*,aminopeptidase activity
YLR328W,NAD metabolism,nicotinamide-nucleotide adenylyltransferase activity
YLR390W-A,cell wall organization and biogenesis,structural constituent of cell wall
YHR043C,response to stress*,2-deoxyglucose-6-phosphatase activity
YOR037W,mitochondrial intermembrane space protein import*,molecular function unknown
YPR124W,copper ion import,copper uptake transporter activity
YGL162W,regulation of transcription from RNA polymerase II promoter*,transcription factor activity*
YGR147C,N-terminal peptidyl-methionine acetylation,peptide alpha-N-acetyltransferase activity
YNL284C,protein biosynthesis,structural constituent of ribosome
YLR382C,Group I intron splicing*,mRNA binding*
YPL040C,protein biosynthesis*,isoleucine-tRNA ligase activity
YPR047W,protein biosynthesis,phenylalanine-tRNA ligase activity
YLR163C,mitochondrial protein processing,mitochondrial processing peptidase activity
YPL029W,RNA catabolism,ATP-dependent RNA helicase activity
YDR316W,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YGR150C,biological process unknown,molecular function unknown
YNL177C,protein biosynthesis*,structural constituent of ribosome
YER170W,nucleotide metabolism,adenylate kinase activity
YLR289W,biological process unknown,GTPase activity
YPL072W,protein deubiquitination,ubiquitin-specific protease activity
YDL243C,aldehyde metabolism,aryl-alcohol dehydrogenase activity
YFR053C,glucose metabolism*,hexokinase activity
YPR193C,histone acetylation,histone acetyltransferase activity
YFL018C,glycine catabolism*,glycine dehydrogenase (decarboxylating) activity*
YJL066C,biological process unknown,molecular function unknown
YGL219C,mitochondrion organization and biogenesis,molecular function unknown
YOL027C,mitochondrion organization and biogenesis*,molecular function unknown
YEL070W,biological process unknown,molecular function unknown
YGR292W,maltose catabolism,alpha-glucosidase activity
YBR299W,maltose catabolism,alpha-glucosidase activity
YDR296W,mitochondrial genome maintenance,transcription regulator activity
YNL333W,thiamin biosynthesis*,protein binding
YFL059W,thiamin biosynthesis*,protein binding
YIR039C,biological process unknown,aspartic-type endopeptidase activity
YKR016W,biological process unknown,molecular function unknown
YJR080C,biological process unknown,molecular function unknown
YEL024W,aerobic respiration*,ubiquinol-cytochrome-c reductase activity
YKL141W,tricarboxylic acid cycle*,succinate dehydrogenase (ubiquinone) activity
YML054C,electron transport,L-lactate dehydrogenase (cytochrome) activity
YNR002C,transport*,transporter activity
YKR067W,phospholipid biosynthesis,glycerol-3-phosphate O-acyltransferase activity
YJR077C,phosphate transport,inorganic phosphate transporter activity
YBL099W,ATP synthesis coupled proton transport,"hydrogen-transporting ATP synthase activity, rotational mechanism"
YPR191W,aerobic respiration*,ubiquinol-cytochrome-c reductase activity
YDR009W,"regulation of transcription, DNA-dependent*",protein binding
YDL079C,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity
YML091C,protein biosynthesis*,ribonuclease P activity
YDR343C,hexose transport,glucose transporter activity*
YDR342C,hexose transport,glucose transporter activity*
YML087C,biological process unknown,molecular function unknown
YPL118W,protein biosynthesis*,structural constituent of ribosome
YPL104W,protein biosynthesis,aspartate-tRNA ligase activity
YNL005C,protein biosynthesis,structural constituent of ribosome*
YJL137C,glycogen biosynthesis,glycogenin glucosyltransferase activity
YOR356W,NAD catabolism,"oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor"
YNL173C,signal transduction during conjugation with cellular fusion,molecular function unknown
YPL134C,mitochondrial transport,intracellular transporter activity*
YNR045W,protein biosynthesis,translation regulator activity
YBL030C,aerobic respiration*,ATP:ADP antiporter activity
YML120C,"mitochondrial electron transport, NADH to ubiquinone","oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor"
YOR065W,"mitochondrial electron transport, ubiquinol to cytochrome c*","electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity"
YJL054W,mitochondrial inner membrane protein import,protein transporter activity
YHR091C,protein biosynthesis*,arginine-tRNA ligase activity
YGL064C,ribosome biogenesis,RNA helicase activity
YPL063W,mitochondrial matrix protein import,molecular function unknown
YLR394W,synaptonemal complex formation*,DNA binding
YKL195W,protein targeting*,molecular function unknown
YLR077W,biological process unknown,molecular function unknown
YJL112W,mitochondrial genome maintenance*,molecular function unknown
YDR259C,positive regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity
YMR002W,biological process unknown,molecular function unknown
YOR205C,biological process unknown,molecular function unknown
YNR072W,hexose transport,glucose transporter activity*
YGR171C,methionyl-tRNA aminoacylation,methionine-tRNA ligase activity
YKL155C,protein biosynthesis,structural constituent of ribosome
YAL060W,butanediol fermentation,"(R,R)-butanediol dehydrogenase activity"
YNL124W,transport*,RNA binding*
YOL072W,bud site selection*,protein binding
YLR193C,biological process unknown,molecular function unknown
YOR355W,aerobic respiration,molecular function unknown
YPL157W,ribosome biogenesis*,RNA methyltransferase activity
YCL005W,biological process unknown,molecular function unknown
YOL030W,biological process unknown,"1,3-beta-glucanosyltransferase activity"
YGL234W,'de novo' IMP biosynthesis*,phosphoribosylamine-glycine ligase activity*
YBR221C,pyruvate metabolism,pyruvate dehydrogenase (acetyl-transferring) activity
YDL229W,protein biosynthesis,ATPase activity*
YNL209W,protein biosynthesis,ATPase activity*
YER043C,methionine metabolism*,adenosylhomocysteinase activity
YKL027W,biological process unknown,molecular function unknown
YGR159C,rRNA processing*,RNA binding*
YCR051W,biological process unknown,molecular function unknown
YOR187W,translational elongation,GTPase activity*
YDL226C,ER to Golgi transport*,actin binding*
YHR142W,ER to Golgi transport*,molecular function unknown
YML082W,sulfur metabolism,carbon-sulfur lyase activity
YNL073W,lysyl-tRNA aminoacylation,lysine-tRNA ligase activity
YPL131W,protein biosynthesis*,structural constituent of ribosome*
YPR140W,phospholipid biosynthesis*,acyltransferase activity
YMR318C,aldehyde metabolism*,alcohol dehydrogenase (NADP+) activity
YPR129W,RNA metabolism,RNA binding
YJL143W,mitochondrial matrix protein import,protein transporter activity
YBL100C,NA,NA
YJR105W,purine base metabolism,adenosine kinase activity
YPR183W,protein amino acid N-linked glycosylation*,"transferase activity, transferring glycosyl groups*"
YJL121C,pentose-phosphate shunt,ribulose-phosphate 3-epimerase activity
YLR180W,methionine metabolism,methionine adenosyltransferase activity
YLR340W,translational elongation*,structural constituent of ribosome
YKR092C,nucleocytoplasmic transport,unfolded protein binding
YHR025W,methionine metabolism*,homoserine kinase activity
YJR117W,peptide pheromone maturation,metalloendopeptidase activity*
YNL263C,ER to Golgi transport,molecular function unknown
YDR044W,heme biosynthesis,coproporphyrinogen oxidase activity
YBR084W,"nucleobase, nucleoside, nucleotide and nucleic acid metabolism*",formate-tetrahydrofolate ligase activity*
YMR296C,sphingolipid biosynthesis,serine C-palmitoyltransferase activity
YPR114W,biological process unknown,molecular function unknown
YFR028C,protein amino acid dephosphorylation*,phosphoprotein phosphatase activity
YDR353W,regulation of cell redox homeostasis,thioredoxin-disulfide reductase activity
YKL183W,biological process unknown,molecular function unknown
YDL217C,mitochondrial inner membrane protein import,protein transporter activity
YLR058C,one-carbon compound metabolism,glycine hydroxymethyltransferase activity
YLR192C,protein biosynthesis*,translation initiation factor activity*
YBL011W,phospholipid biosynthesis,glycerol-3-phosphate O-acyltransferase activity
YNR017W,mitochondrial matrix protein import,protein transporter activity
YJL076W,regulation of exit from mitosis*,ribosomal DNA (rDNA) binding
YGR241C,endocytosis,clathrin binding
YGR054W,translational initiation,translation initiation factor activity
YPL263C,biological process unknown,molecular function unknown
YDL040C,protein amino acid acetylation,peptide alpha-N-acetyltransferase activity
YHR062C,rRNA processing*,ribonuclease P activity*
YLR401C,tRNA modification,tRNA dihydrouridine synthase activity
YNL247W,cysteine metabolism*,cysteine-tRNA ligase activity
YGL099W,sporulation (sensu Fungi)*,GTPase activity
YBR079C,translational initiation,translation initiation factor activity
YER027C,protein amino acid phosphorylation*,AMP-activated protein kinase activity
YBL032W,telomerase-dependent telomere maintenance*,mRNA binding
YJR070C,microtubule cytoskeleton organization and biogenesis,protein binding
YJL069C,35S primary transcript processing,molecular function unknown
YLL045C,protein biosynthesis,structural constituent of ribosome
YMR006C,glycerophospholipid metabolism,lysophospholipase activity
YMR203W,mitochondrial matrix protein import,protein transporter activity
YGL084C,glycerol transport*,O-acyltransferase activity
YPR181C,ER to Golgi transport*,GTPase activator activity
YBR220C,biological process unknown,molecular function unknown
YNR030W,protein amino acid glycosylation*,"alpha-1,6-mannosyltransferase activity"
YDR297W,sphingolipid biosynthesis*,sphingosine hydroxylase activity
YBL083C,NA,NA
YBL082C,protein amino acid glycosylation*,"alpha-1,3-mannosyltransferase activity"
YLR378C,protein-ER targeting*,protein transporter activity
YHR198C,biological process unknown,molecular function unknown
YLR253W,biological process unknown,molecular function unknown
YMR166C,transport,transporter activity
YPL097W,tyrosyl-tRNA aminoacylation,tyrosine-tRNA ligase activity
YDR036C,endocytosis*,3-hydroxyisobutyryl-CoA hydrolase activity
YGR112W,aerobic respiration,unfolded protein binding
YEL050C,protein biosynthesis*,structural constituent of ribosome
YIL162W,sucrose catabolism,beta-fructofuranosidase activity
YLR203C,protein biosynthesis*,molecular function unknown
YHL004W,protein biosynthesis,structural constituent of ribosome*
YPL252C,heme a biosynthesis,electron carrier activity
YCR024C,protein biosynthesis,asparagine-tRNA ligase activity
YJL180C,protein complex assembly,unfolded protein binding
YNL121C,mitochondrial matrix protein import*,protein transporter activity
YDR337W,protein biosynthesis*,structural constituent of ribosome*
YNL315C,protein complex assembly,unfolded protein binding
YDR194C,RNA splicing,"RNA splicing factor activity, transesterification mechanism*"
YOL033W,protein biosynthesis*,glutamate-tRNA ligase activity
YBR044C,protein complex assembly,unfolded protein binding
YGL236C,protein biosynthesis*,molecular function unknown
YLR439W,protein biosynthesis,structural constituent of ribosome
YBR037C,protein complex assembly*,thioredoxin peroxidase activity*
YDR405W,protein biosynthesis,structural constituent of ribosome
YHR024C,mitochondrial protein processing,mitochondrial processing peptidase activity
YLR069C,translational elongation,translation elongation factor activity
YPL172C,protein complex assembly*,protoheme IX farnesyltransferase activity
YKL194C,threonyl-tRNA aminoacylation,threonine-tRNA ligase activity
YGL107C,biological process unknown,molecular function unknown
YGR084C,protein biosynthesis,structural constituent of ribosome
YDR375C,aerobic respiration*,ATPase activity
YPL173W,protein biosynthesis,structural constituent of ribosome
YDR116C,protein biosynthesis*,structural constituent of ribosome
YJL063C,protein biosynthesis*,structural constituent of ribosome
YDR237W,protein biosynthesis,structural constituent of ribosome
YML025C,protein biosynthesis*,structural constituent of ribosome
YBR172C,cytoskeleton organization and biogenesis,molecular function unknown
YOR201C,rRNA modification,rRNA (guanine-N1-)-methyltransferase activity
YGL040C,heme biosynthesis,porphobilinogen synthase activity
YGR062C,cytochrome c oxidase complex assembly,protein transporter activity
YDR462W,protein biosynthesis,structural constituent of ribosome
YMR024W,protein biosynthesis,structural constituent of ribosome
YNL185C,protein biosynthesis,structural constituent of ribosome
YHR116W,aerobic respiration,molecular function unknown
YGR021W,biological process unknown,molecular function unknown
YIL093C,protein biosynthesis,structural constituent of ribosome
YCR046C,protein biosynthesis,structural constituent of ribosome
YJR113C,protein biosynthesis,structural constituent of ribosome
YJR122W,biological process unknown,molecular function unknown
YGL143C,protein biosynthesis*,translation release factor activity
YPL103C,biological process unknown,molecular function unknown
YHR011W,aerobic respiration*,serine-tRNA ligase activity
YOL122C,manganese ion transport,"di-, tri-valent inorganic cation transporter activity*"
YNR015W,tRNA modification*,tRNA dihydrouridine synthase activity
YNL268W,basic amino acid transport,basic amino acid transporter activity
YCR053W,endocytosis*,threonine synthase activity
YGL148W,aromatic amino acid family biosynthesis,chorismate synthase activity*
YLR023C,lipid metabolism*,metal ion binding
YBL080C,protein biosynthesis*,molecular function unknown
YJR045C,protein folding*,ATPase activity*
YBR297W,"regulation of transcription, DNA-dependent*",transcription factor activity
YHL038C,Group I intron splicing,"RNA splicing factor activity, transesterification mechanism"
YOL023W,translational initiation,RNA binding*
YNL137C,protein biosynthesis,structural constituent of ribosome
YOR266W,inner mitochondrial membrane organization and biogenesis,molecular function unknown
YBR192W,mitochondrial genome maintenance,transporter activity
YAL019W,chromosome organization and biogenesis (sensu Eukaryota),molecular function unknown
YLR389C,proteolysis and peptidolysis*,metallopeptidase activity
YBR260C,osmosensory signaling pathway,Rho GTPase activator activity
YLR150W,telomere maintenance*,DNA binding*
YBR261C,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YMR293C,aerobic respiration,amidase activity
YHR216W,GTP biosynthesis,IMP dehydrogenase activity
YFR047C,NAD biosynthesis,nicotinate-nucleotide diphosphorylase (carboxylating) activity
YJL128C,protein amino acid phosphorylation*,MAP kinase kinase activity*
YBR060C,DNA replication initiation*,DNA replication origin binding
YGL253W,replicative cell aging*,hexokinase activity
YOR361C,translational initiation,translation initiation factor activity
YBL051C,G2/M transition of mitotic cell cycle*,molecular function unknown
YFL022C,phenylalanyl-tRNA aminoacylation,phenylalanine-tRNA ligase activity
YJL133W,RNA splicing*,iron ion transporter activity*
YAR075W,biological process unknown,molecular function unknown
YPL093W,ribosome-nucleus export,GTPase activity
YML124C,mitotic sister chromatid segregation*,structural constituent of cytoskeleton
YDR451C,negative regulation of transcription from RNA polymerase II promoter*,DNA binding*
YDL150W,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YNL072W,DNA replication,ribonuclease H activity
YGL014W,"mRNA catabolism, deadenylylation-dependent decay*",mRNA binding
YHR204W,ER-associated protein catabolism,carbohydrate binding
YBR133C,regulation of progression through cell cycle*,protein-arginine N-methyltransferase activity
YOR091W,biological process unknown,molecular function unknown
YLR091W,biological process unknown,molecular function unknown
YHR050W,manganese ion transport,"di-, tri-valent inorganic cation transporter activity*"
YLR116W,"nuclear mRNA splicing, via spliceosome",RNA binding
YDL033C,protein biosynthesis*,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity
YOL052C,pantothenate biosynthesis*,adenosylmethionine decarboxylase activity
YDR232W,heme biosynthesis,5-aminolevulinate synthase activity
YLL018C-A,cytochrome c oxidase complex assembly*,metal ion transporter activity
YML113W,negative regulation of transcription from RNA polymerase II promoter,AT DNA binding
YIR006C,endocytosis*,"protein binding, bridging"
YDR432W,mRNA-nucleus export,mRNA binding*
YAL042W,ER to Golgi transport,molecular function unknown
YAL039C,cytochrome c-heme linkage,holocytochrome-c synthase activity
YPL085W,vesicle-mediated transport*,structural molecule activity
YDR192C,mRNA-nucleus export*,structural molecule activity
YOR231W,protein amino acid phosphorylation*,MAP kinase kinase activity
YAL043C,mRNA polyadenylylation*,RNA binding
YEL036C,protein amino acid N-linked glycosylation,mannosyltransferase activity*
YHR135C,protein amino acid phosphorylation*,casein kinase I activity
YGR202C,phosphatidylcholine biosynthesis*,choline-phosphate cytidylyltransferase activity
YKR072C,G1/S transition of mitotic cell cycle*,phosphopantothenoylcysteine decarboxylase activity*
YCL009C,branched chain family amino acid biosynthesis,enzyme regulator activity*
YNL045W,lipid metabolism*,aminopeptidase activity*
YPR074C,pentose-phosphate shunt,transketolase activity
YLR187W,biological process unknown,molecular function unknown
YOR025W,chromatin silencing at telomere*,DNA binding
YGR056W,chromatin remodeling,molecular function unknown
YMR005W,transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity
YJL210W,peroxisome organization and biogenesis,protein binding
YKR036C,"regulation of transcription, DNA-dependent",protein binding
YDR384C,transport*,transporter activity
YOR203W,NA,NA
YDL054C,transport,transporter activity*
YGL026C,tryptophan biosynthesis,tryptophan synthase activity
YER086W,branched chain family amino acid biosynthesis,threonine ammonia-lyase activity
YGL125W,methionine metabolism*,structural constituent of ribosome*
YPL264C,biological process unknown,molecular function unknown
YPR058W,transport,transporter activity
YOL140W,arginine biosynthesis*,acetylornithine transaminase activity
YDR037W,lysyl-tRNA aminoacylation,lysine-tRNA ligase activity
YPR145W,asparagine biosynthesis,asparagine synthase (glutamine-hydrolyzing) activity
YDR354W,tryptophan biosynthesis,anthranilate phosphoribosyltransferase activity
YOR108W,leucine biosynthesis,2-isopropylmalate synthase activity
YOR202W,histidine biosynthesis,imidazoleglycerol-phosphate dehydratase activity
YDR035W,aromatic amino acid family biosynthesis,3-deoxy-7-phosphoheptulonate synthase activity
YMR062C,cell wall organization and biogenesis*,amino-acid N-acetyltransferase activity*
YJL071W,arginine biosynthesis*,amino-acid N-acetyltransferase activity
YBL076C,protein biosynthesis,isoleucine-tRNA ligase activity
